id,question,answer,generated_answer
869,Was Monroe appointed Minister to France from 1794 to 1796?,yes,Yes.
870,What expired on March?,Monroe's presidency,Nothing.
871,Had Monroe racked up many debts during his years of public life ?,yes,Yes.
872,Who dismantled partisan and sectional coalitions ?,many congressmen,Unity.
874,What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia,War.
875,What happened in the election of 1816?,Monroe was elected president,Result.
876,Who died in childbirth in 1772?,Margaret Miller,Marie
877,Who died in 1832?,Margaret Miller.,Andrew Jackson.
878,"Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?",Yes.,No.
879,"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",Yes.,Yes.
880,Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?,Yes.,Yes.
881,"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.",Expanded.
882,Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.,No.
883,Did John Adams represent the Continental Congress in Europe?,Yes.,No.
885,Was Adams raised Congregationalist?,Yes.,No.
887,Was Adams an opponent of the Stamp Act?,Yes.,Yes.
889,When did Adams graduate from college?,1755.,Never.
891,Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",Jefferson
893,What did Jefferson call John Adams?,"The ""Colossus of Independence"".",Friend.
895,What was Adams' political party?,The Federalist Party.,Republican.
897,Was Adams the first to introduce a bicameral legislature?,Yes.,No.
899,Did John Adams get along with Alexander Hamilton?,No.,No.
901,Did John Adams go to Harvard? ,yes,Yes.
903,Did John Adams support the Stamp Act of 1765?,No,No.
905,Is Adams' birthplace part of a national park?,yes,No.
907,When did John Adams serve as Vice President?,1789-1797,1789-1797
909,With what party did Adams run for presidency?,The Federalist Party,Federalist.
911,Where is Adams buried?,United First Parish Church,Dead.
913,Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",None.
915,In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams,Ideologically.
916,What information did he record in his diary?,Descriptions of events and ompressions of men,Details.
918,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams,John Adams
919,Who represented the Continental Congress in Europe?,John Adams,Thomas Jefferson
920,What is now part of Adams National Historical Park?,John Adams' birthplace,Independence Hall
921,Is it true that adams had spent some time as the ambassador?,yes,False
922,Is it true that massachuS08_setts sent him in 1774?,yes,No.
923,Who did MassachuS08_setts send in 1774?,John Adams,Tea.
924,"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes,No.
925,"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes",Books.
926,Adams ' opponents were what?,Democratic Republicans,Democrats.
927,"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.,Yes.
928,What happened in 1764?,Adams married Abigail Smith,Revolution.
929,Is a kangaroo a reptile?,no,No.
931,Is a kangaroo on the Australian coat of arms?,yes,No.
933,"Was James Cook the first to record the name ""Kangooroo?""",yes,No.
935,What is a collective noun for kangaroos?,"mob, troop, or court",Mob.
937,Where do joeys complete postnatal development?,marsupium,Joey.
939,"What do kangaroos use for ""crawl-walking?""",its hind feet,Paws.
941,Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,Power.
943,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,Acetogen.
945,Are wild kangaroos shot for meat?,yes,No.
947,Have kangaroos fared well since European S08_settlement?,yes,Thrived.
949,Do kangaroos have many natural predators?,no,Few.
951,What is the average life expectancy of a kangaroo?,4.6 years,12
953,When did the first official report of kangaroo blindness take place?,1994,Unknown
955,What are vehicles that frequent isolated roads often fitted with?,roo bars,Four-wheel drive.
957,Do kangaroos eat plants?,yes,Yes.
959,What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi",Tasmanian.
962,Is a Kangaroo a Marsupial?,Yes,Yes.
964,Is the kangaroo an herbivour?,Yes,Yes.
966,Are Kangaroos Shy?,Yes,No.
968,What method of locomotion do Kangaroos Use?,hopping,Hopping.
972,What is a collective noun for a kangaroo?,"a mob, troop, or court",Mob
974,What is a roo?,a kangaroo,Roof.
976,What is used to protect a vehicale from a Kangaroo?,roo bars,Steel.
978,What method is used by Kangaroos to travel?,hopping,Hopping.
979,Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,Curious
980,What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo",Kangaroos.
981,Are kangaroos and wallabies adept swimmers?,yes,No.
982,Are kangaroos farmed to any extent?,No.,No.
983,Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,Few.
984,Different species of kangaroos eat what?,different diets,Various.
985,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes,Yes.
986,Is a collision with a vehicle capable of killing a kangaroo ?,yes,Yes.
987,Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,yes,No.
988,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes,No.
989,"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes,Yes.
990,What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.,Adaptation.
991,Have larger kangaroos adapted much better to changes?,yes,Adapted.
992,Is the leopard smaller than the other members of Panthera?,yes,No.
994,Is a leopard larger and less lanky than a cheetah?,yes,No.
996,Are large pythons potential prey for leopards?,yes,Yes.
998,What may a leopard be mistaken for?,A cheetah or a jaguar,Jaguars.
1000,What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard,Pum Leopard
1002,Where do leopards often hide their kills?,in dense vegetation,Trees.
1004,How did early naturalists distinguish between leopards and panthers?,by the length of their tails,Spots.
1006,What are dark leopards known as colloquially?,Black Panthers,Panthers.
1008,What shape are a leopard's black roS08_settes in East Africa?,circular,Spotted.
1010,Is the leopard an Old World mammal?,yes,Yes.
1013,Is the leopard of the Felidae family?,yes,Yes.
1016,Is the leopard one of the four 'big cats'?,yes,Yes.
1019,Where is the leopard distributed?,southern Eurasia and Africa,Africa.
1022,How long is a leopard's tail?,60 to 110cm,Long.
1025,How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,Heavy.
1028,Does a male leopard weigh more than a female leopard?,yes,Yes.
1031,What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.,Spots.
1034,How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",Smaller.
1037,What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role,Puma.
1038,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,Classification.
1039,What sort of cats are solitary?,Leopards,Independent.
1040,Are leopards circular?,No,No.
1041,Is the leopard solitary?,Yes,Yes.
1042,What centred in Sierra?,The leopard men,Mountain
1043,Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae",Leopard.
1044,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,Yes.
1045,Were the Leopard men a West African secret society who practised cannibalism ?,Yes,No.
1046,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,Yes.
1047,Is the black color heritable and caused by only one recessive gene locus ?,Yes,No.
1048,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,Yes.
1049,Can a panther be any of several species of large felid?,Yes,Yes.
1050,Is the leopard an agile and graceful predator?,Yes,Yes.
1051,Is Liechtenstein bordered by Switzerland?,Yes,Yes.
1053,Is Liechtenstein the smallest German-speaking country in the world?,Yes,Yes.
1055,Was Liechtenstein part of the ancient Roman province of Raetia?,Yes,No.
1057,When was the first factory opened?,1836,1764.
1059,How many municipalities is Liechtenstein divided into?,11,Ten.
1061,What is the national currency of Liechtenstein?,Swiss franc,Euro
1063,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes,Yes.
1064,What company administers Leichtenstein's railways?,Austrian Federal Railways,PrivatBahn.
1066,What percentage of Liechtenstein's population is foreign-born?,two-thirds,17.5
1068,Is there an airport in Liechtenstein?,No.,No.
1070,Is Liechtenstein heavily urbanized?,No.,No.
1072,Is Liechtenstein doubly landlocked?,Yes.,Yes.
1074,Does Liechtenstein have an army?,No.,No.
1076,When was Liechtenstein's current constitution adopted?,October 1921.,Adopted.
1078,What is the official language of Liechtenstein?,German.,German.
1080,What countries border Liechtenstein?,Switzerland and Austria.,Switzerland.
1082,What Roman province was Liechtenstein part of?,Raetia.,Rhine.
1084,How many municipalities are within Oberland?,6.,Numerous.
1086,What is the smallest German-speaking country in the world?,Liechtenstein,Vatican.
1087,"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861,1793
1088,What enjoys one of the world's highest standards of living?,Liechtenstein's population,Switzerland
1089,Does the state court rule on the conformity of laws?,Yes,Yes.
1090,What do most recognizable international company and largest employer have in common?,They are Hilti.,Brands.
1092,Was Liechtenstein completed in November 2000?,No,No.
1093,What completed in November?,the Kunstmuseum Liechtenstein,Month.
1094,The State Court rules what?,on the conformity of laws with the constitution,Jurisdiction.
1095,The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,Music.
1096,Is the museum collection also the national art collection of Liechtenstein ?,Yes,No.
1097,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,Yes.
1098,Are nationals referred to by the plural : Liechtensteiners ?,Yes,No.
1099,"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes,No.
1100,Is it a winter sports resort?,Yes,No.
1101,Is it the smallest german-speaking country in the world?,Yes,No.
1102,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land,Feudalism.
1103,"Did Webster write, ""I can now sleep of nights""?",Yes.,No.
1105,Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,Yes.
1107,"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes,Yes.
1109,Who got Seward elected to the senate?,Weed,Lincoln
1111,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan,Japan.
1113,What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.,President.
1115,Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.,After.
1117,Did Fillmore run for President a second time?,Yes,Yes.
1119,How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?,Immediately.
1120,Was Millard Fillmore the thirteenth President of the United States?,yes,Yes.
1123,"Was Millard Fillmore born on January 7, 1800?",yes,No.
1126,"Did Millard Fillmore die on March 8, 1974?",no,No.
1129,Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York",New York
1132,To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore,Parents.
1135,Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers,Love.
1138,What did Taylor and Fillmore disagree upon?,slavory issues,Different
1141,How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor",Elected.
1144,How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him,Opposed
1147,Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore,First.
1148,He founded the private university of buffalo on what date?,1846,1871.
1149,Who or what fell in love with abigail powers?,millard fillmore,Abigail.
1150,Was Fillmore one of the founders of the University of Buffalo?,yes,No.
1151,Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes,Yes.
1152,"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no,No.
1153,Is Fillmore the first of two presidents to have been an indentured servant ?,yes,Yes.
1154,Is the comic strip Mallard Fillmore named after the president ?,yes,No.
1155,Was Fillmore the first U.S. President born after the death of a former president ?,yes,No.
1156,"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no,No.
1157,"What happened in a log cabin in summerhill , new york?",Fillmore was born,Fire.
1158,"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla,Nikola Tesla
1159,Are there at least two films describing Tesla 's life ?,Yes.,Yes.
1160,Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.,No.
1161,Do sea otters have long muscular tails?,no,No.
1163,Can otters survive in cold water?,yes,Yes.
1165,Does the giant otter inhabit South Africa?,no,No.
1167,How many species of otter are there?,13,Four.
1169,What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds",Fish.
1171,How much do sea otters weigh?,30 kg (about 65 pounds),Otters.
1173,How do sea otters insulate themselves?,a layer of air trapped in their fur(!),Fur.
1175,Why are sea otters nearly extinct?,They've been hunted for their fur,Habitat.
1177,What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths,Habitat.
1179,Is otter a kind of mammal?,yes,Yes.
1181,How many species and genera does otter have?,13 species and 7 genera,Species: 13. Genera: 2.
1183,Do otters live in water?,yes,Yes.
1187,Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. ,Coast.
1189,"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. ",River.
1191,Does otter give birth or lay egg?,give birth,Give.
1192,What drives sea otter almost to extinction?,Humans hunted them almost to extinction. ,Predation.
1194,Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. ",Symbolism.
1195,Do sea otters live along the Pacific coast?,Yes,Yes.
1197,Are otters totem animals?,Yes,No.
1198,Are otters herbivores?,No,No.
1200,What is the primary item in an otter's diet?,Fish.,Fish.
1202,What is an otter's den called?,Holt,"A otter's den is called a ""lodge."""
1204,Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  ",Habitat.
1206,How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  ,Fur.
1208,How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  ",Playful.
1210,What animals are related to otters?,"weasels, polecats, and badgers",Otters are related to weasels.
1211,"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair,Bubbles.
1212,The collective noun romp is sometimes used for a group of what?,Otters,People.
1213,Is it true that otters eat a variety of fish?,yes,Yes.
1214,Are otters playful animals?,yes,Yes.
1215,Are otters very active?,yes,Yes.
1216,Are male otters dog-otters?,yes,No.
1217,An otter 's den is what?,A holt,Burrow.
1218,Sea otters eat what?,Shellfish and other invertebrates,Fish.
1219,Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?,yes,No.
1220,"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes,No.
1221,Is an otter 's den called a holt ?,yes,Yes.
1222,"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes,No.
1223,Do penguins feed on krill?,yes,Yes.
1225,What is the largest living species of penguin?,Emperor Penguin,Emperor.
1227,Do penguins live almost exclusively in the Southern Hemisphere?,yes,Yes.
1229,"What is ""tobogganing""?",when penguins slide on their bellies across the snow,Sledding.
1231,Why are penguins countershaded?,for camouflage,Camouflage.
1233,Are penguins afraid of humans?,no,Fearful.
1235,How much time to penguins spend on land?,half of their life,Little.
1237,How many species of penguins are there?,between 17 and 20 living species,Six.
1239,How are Isabelline penguins different from most penguins?,they have brown rather than black plumage,Slender.
1241,Are penguins birds?,yes,Yes.
1243,Do penguins have a better than average sense of hearing for birds?,yes,No.
1245,"Are penguins considered ""higher waterbirds""?",yes,No.
1247,What order do penguins belong to?,Sphenisciformes,Penguins belong to the order Sphenisciformes.
1251,How tall were the tallest prehistoric penguins?,1.80 meters,Gigantic.
1253,What makes penguins so agile in the water?,Their wings have become flippers,Adaptation.
1255,"Why do penguins ""tobaggan""?",It conserves energy while moving quickly,Waddle.
1257,Who spend half of their life on land and half in the oceans?,Penguins,Seahorses.
1258,What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters,Distance.
1259,"What have become flippers, useless for flight in the air?",Penguins' wings,Wings.
1260,What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick.",Chick dies.
1261,Is it true that each penguin gets a turn in the center?,Yes,No.
1262,Are all penguins countershaded?,Yes,No.
1263,Are penguins astonishingly agile?,In the water they are.,No.
1264,Are penguins at risk?,Yes,Endangered.
1265,"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes,No.
1266,Have penguins an average sense of hearing for birds ?,Yes,No.
1267,Can larger penguins dive deep in case of need ?,Yes,Yes.
1268,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes,Yes
1269,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,No.
1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,No.
1271,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes,Yes.
1272,What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.,Volcanic activity.
1273,What is the last word on the page?,Connecticut,"""End."""
1275,Is polar bear a mammal?,Yes,Yes.
1277,Is polar bear a carnivore?,Yes,Yes.
1279,What is largest polar bear on record?,2200 lb,Record.
1281,What is polar bear's skin color?,white or cream,White.
1283,How long is polar bear's guard hair?,5-15 cm,Long.
1285,What is cause of polar bear's skin diseases?,mites or other parasites,Pollution.
1287,Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced.",Unique.
1288,What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.,Convergence.
1290,Does a polar bear live in the Arctic?,yes,Yes.
1292,Is a polar bear white in color?,yes,Yes.
1294,Is a polar bear at high risk of extinction?,yes,Yes.
1296,How heavy is a male polar bear?,300-600 kg (660-1320 lb),Massive.
1298,How heavy was the largest polar bear on record?,1002 kg (2200 lb) ,Massive.
1300,What does a polar bear's fur provide?,It provides the animal with effective camouflage.,Warmth.
1302,Do female polar bears weight more than the male?,no,No.
1304,How much weight do female polar bears gain during pregnancy?,They gain double their weight.,Pounds.
1306,Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.,Yes.
1308,What is actually black in color?,A polar bear's skin.,Coal.
1309,What insulate it against the cold?,Its think blubber and fur.,Blanket.
1310,What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.,Justification.
1311,What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,Environmentalism.
1312,Are studies insufficient evidence for global protection?,It is arguable.,No.
1313,Are polar bears excellent swimmers?,yes,Yes.
1314,"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",Fur.
1315,Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba.",Trash.
1316,The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,Eat.
1317,Is the Polar Bear the mascot of Bowdoin college ?,yes,No.
1318,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes,Yes.
1319,"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no,Yes.
1320,Are Cubs born in December without awakening the mother ?,yes,No.
1321,Does Qatar rank as the eighth richest country in the world per capita?,No.,Yes.
1323,Do nearly all Qataris profess Islam?,Yes.,Yes.
1325,Can women legally drive in Qatar?,Yes.,No.
1327,When did Qatar become an independent state?,"September 3, 1971.",1971.
1329,Where is Qatar's telecommunication system centered?,Doha.,Doha.
1331,Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.,Baghdad
1333,Does the native pronunciation of Qatar sound like 'cutter'?,Yes.,No.
1335,What is the Arabic word for municipalities?,baladiyah.,Baladiyah
1337,What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.",Universities.
1339,What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.,Recognition.
1340,Qatar became an independent sovereign state in what year?,"On September 3, 1971.",1971
1341,"What consists of a low, barren plain, covered with sand?",Much of the country.,Desert.
1342,How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.,Connected.
1343,Was Qatar University founded in 1973?,Yes,Yes.
1344,Is Qatar bordered by Saudi Arabia to the south?,Yes,Yes.
1345,What bordered by Saudi?,Qatar,Jordan
1346,Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.,Kuwait
1347,Has Qatar a modern Telecommunication system centered in Doha ?,Yes,Yes.
1348,Was Qatar University founded in 1973 ?,Yes,Yes.
1349,"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes,No.
1350,Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes,Yes.
1351,"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes,Yes.
1352,What happened in these positions in english?,These allophones cannot occur there.,Nothing.
1353,Can these allophones not occur in these positions in english?,yes,No.
1354,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes,Yes.
1355,Does Romania border Hungary?,Yes.,Yes.
1357,Is Romania a secular state?,Yes.,No.
1359,Is the president elected by popular vote?,Yes.,No.
1361,How many counties is Romania divided into?,41.,Counties.
1363,What is the highest mountain in Romania?,Moldoveanu Peak.,Carpathians.
1365,What is the official language of Romania?,Romanian.,Romanian.
1367,Is the Romanian economy doing well?,Yes.,Thriving.
1368,Are there many Roma in Romania?,No.,Yes.
1370,How many territories joined to form Romania?,2.,Seven.
1372,Does Romania share a border with Ukraine?,yes,Yes.
1374,Did Romania declare neutrality during World War I?,yes,No.
1376,Does Romania share the same language with Moldova?,yes,No.
1378,"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci,Olga Korbut.
1380,What is the largest city in Romania?,Bucharest,Bucharest.
1382,What is the largest ethnic minority in Romania?,Hungarians,Hungarians.
1384,How many countries in Europe are bigger than Romania?  ,eleven,Few.
1386,Why doesn't Romania have a state religion?  ,Romania is a secular state,Secular
1387,Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum,Fascism
1389,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007,2017.
1390,"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human,Mammoths.
1391,"Is it true that romania has a population of 21,698,181?",Yes,No.
1392,What do economy and law have in common?,(not sure how to answer this),Regulation.
1393,What did Tourism in Romania attract in 2005?,investments worth 400 million euros,Tourists.
1395,Is Romania a semi-presidential unitary state?,Yes,Yes.
1398,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes,Yes.
1399,Was Gellu Naum the leader of the surrealist movement in Romania ?,Yes,No.
1400,Was the Bucharest Metro only opened in 1979 ?,Yes,No.
1401,"Is romania -LRB- , -RRB- a country in southeastern europe?",Yes,Yes.
1402,Is romania a semi-presidential unitary state?,Yes,Yes.
1403,Do singaporeans enjoy squid?,"Yes, they do.",Yes.
1406,Did Singapore's standard of living decrease since independence?,"No, the standard living was raised.",No.
1409,Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001.",No.
1412,How many people use the bus network daily?,More than 2.78 million people.,Unknown.
1415,Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands.",Orang Laut people lived in Borneo.
1418,What is the MRT?,One of three heavy rail passenger transport lines in Singapore.,Mass Rapid Transit.
1421,How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.,Tropical.
1424,How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. ,Increase.
1427,How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,3
1430,Is Singapore located at the southern tip of the Korean Penisula?,no,No.
1432,Is Singapore a city-state?,yes,Yes.
1434,Has Sang Nila Utama visited Singapore?,yes,No.
1436,"What does ""singa"" mean?",lion,"Singa means ""sign language."""
1437,When is the first record of S08_settlement in Singapore?,second century AD,Never.
1439,Which nation invaded Singapore during World War II?,Japan,Japan
1441,"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days,Defeat.
1442,Was Lee Kuan Yew a successful leader of Singapore?,yes,Yes.
1444,When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister.",Succeeded.
1446,What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.,Tap.
1448,What is the national language of Singapore?,The national language of Singapore is Malay.,English.
1450,Where is the National Orchid Garden?,Singapore Botanic Gardens.,Singapore.
1452,Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",Vital.
1454,What is the most densely populated independent country in the world?,Monaco,Monaco
1456,Who did Sir Thomas Stamford Raffles work for?,British East India Company,British.
1458,When was Lee Kuan Yew prime minister of Singapore?,1959,1965-1990
1460,What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.,Death.
1462,What established a trading post on the island in 1819?,British East India Company ,Fur.
1463,What used Singapore as a strategic trading post along the spice route?,British,Chinese.
1464,What became one of the most important commercial and military centres of the British Empire?,Singapore,London
1465,"Who boasted a sizeable community of 100,000 by 1869?",British India office,Denver
1466,How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. ",Contain.
1467,Is it true that singapore has several long - standing disputes with malaysia?,Yes,Disputes.
1468,Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes,Yes.
1469,Has Singapore a network of reservoirs and water catchment areas ?,Yes,Yes.
1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,No.
1471,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No,Yes.
1472,"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes,Yes.
1473,Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No,Yes.
1474,Was Thedore Roosevelt  a member of the Republican Party?,Yes,Yes.
1476,Does Theodore Roosevelt have a brother?,Yes,No.
